iter	CrossEntropy
0	0.6861481869
1	0.679121884
2	0.6723611877
3	0.665746453
4	0.6592309862
5	0.6528164715
6	0.6465273641
7	0.6403622402
8	0.6342104429
9	0.6283359047
10	0.6224519003
11	0.6167331683
12	0.611072415
13	0.6056096955
14	0.6001938368
15	0.5949231327
16	0.5896943634
17	0.5845888335
18	0.5796381354
19	0.574760562
20	0.5698401818
21	0.5651228519
22	0.5604008635
23	0.5559271119
24	0.5514752698
25	0.5471287335
26	0.5427545122
27	0.5385947046
28	0.5345240328
29	0.5304476329
30	0.5264619286
31	0.5224974069
32	0.5186506114
33	0.5148236357
34	0.5111124035
35	0.507438057
36	0.5038440312
37	0.5002767767
38	0.4968017734
39	0.4933717014
40	0.4901116345
41	0.4868285634
42	0.4835956387
43	0.4805044979
44	0.4774220055
45	0.4743321775
46	0.4713768551
47	0.4684593097
48	0.4656935218
49	0.4628660571
50	0.460169102
51	0.4575009703
52	0.4547278593
53	0.4521598555
54	0.4496000476
55	0.4471046733
56	0.4446312071
57	0.4422608943
58	0.4399408768
59	0.4376188723
60	0.4353330945
61	0.4330363702
62	0.4308818258
63	0.4287041332
64	0.4266395766
65	0.4245566107
66	0.4224813094
67	0.420552483
68	0.4185552019
69	0.4165478382
70	0.4145904602
71	0.4126548726
72	0.410730733
73	0.4088744497
74	0.4070610129
75	0.4053346424
76	0.4035872148
77	0.4018965825
78	0.4002301771
79	0.3985921305
80	0.3970091638
81	0.3954100748
82	0.3937916727
83	0.392327702
84	0.3908444551
85	0.3894230969
86	0.3879025453
87	0.3864905394
88	0.3851274164
89	0.3838045778
90	0.3824473231
91	0.3811087871
92	0.3797702497
93	0.3784505339
94	0.3771911013
95	0.3759803206
96	0.3748509827
97	0.3736179295
98	0.3724257581
99	0.3713053578
100	0.3701964966
101	0.3691050694
102	0.3679766366
103	0.3668742086
104	0.3657361747
105	0.3646529415
106	0.363640084
107	0.3625894334
108	0.3615972495
109	0.360672491
110	0.3597382566
111	0.3587583906
112	0.3578577189
113	0.3569542362
114	0.3560712625
115	0.3551668644
116	0.3542917506
117	0.3534575663
118	0.3526292255
119	0.3518099086
120	0.3509905055
121	0.3501991907
122	0.3494301455
123	0.3486706293
124	0.3479480021
125	0.3471916807
126	0.3464731926
127	0.3457425373
128	0.3450050381
129	0.3442908475
130	0.3436076278
131	0.3429234545
132	0.3422386579
133	0.3415795837
134	0.3409331979
135	0.3402817899
136	0.3396401965
137	0.3390143181
138	0.3384266809
139	0.3377994767
140	0.337207683
141	0.3366318211
142	0.3360764649
143	0.335525887
144	0.334957091
145	0.3344157062
146	0.3338479186
147	0.3332975614
148	0.3327541935
149	0.332228306
150	0.3316962165
151	0.3311960646
152	0.3306994686
153	0.3301962604
154	0.3297164911
155	0.3292240941
156	0.3287453088
157	0.3282948665
158	0.3278341748
159	0.3274029459
160	0.3269551728
161	0.3264987757
162	0.3260622842
163	0.3256576676
164	0.3252421013
165	0.3248207334
166	0.3244241626
167	0.3240278684
168	0.3236275538
169	0.3232328224
170	0.3228647972
171	0.3224915134
172	0.3221083367
173	0.3217433359
174	0.3213687513
175	0.3210399922
176	0.3206683547
177	0.3203101592
178	0.3199674724
179	0.3196227246
180	0.3192809184
181	0.3189473895
182	0.3186162482
183	0.3182892143
184	0.3179681672
185	0.3176573849
186	0.3173607929
187	0.3170357759
188	0.3167341494
189	0.3164235669
190	0.3161290384
191	0.3158365487
192	0.3155437833
193	0.3152567392
194	0.3149815597
195	0.3146998468
196	0.3144285197
197	0.3141476789
198	0.3138698828
199	0.3135980413
200	0.3133304643
201	0.3130661594
202	0.312803009
203	0.3125551053
204	0.3123093857
205	0.3120502073
206	0.3118084121
207	0.3115670523
208	0.311318177
209	0.3110830852
210	0.3108566045
211	0.3106170239
212	0.310396217
213	0.3101725445
214	0.3099476123
215	0.3097121204
216	0.3095016345
217	0.3092794754
218	0.3090580859
219	0.3088550079
220	0.3086545229
221	0.3084549865
222	0.3082484258
223	0.3080479184
224	0.3078445583
225	0.3076425717
226	0.3074347041
227	0.307235977
228	0.30705091
229	0.3068554369
230	0.3066620285
231	0.3064706894
232	0.3062928819
233	0.3061123732
234	0.3059179373
235	0.3057317536
236	0.3055477363
237	0.3053553062
238	0.3051778154
239	0.3050015483
240	0.3048243733
241	0.3046477123
242	0.3044696449
243	0.3042944093
244	0.3041222028
245	0.3039539897
246	0.3037886266
247	0.3036368235
248	0.303473775
249	0.3033088135
250	0.3031496048
251	0.3029914996
252	0.3028391382
253	0.302681337
254	0.3025403101
255	0.3023920343
256	0.3022285344
257	0.3020787985
258	0.3019246159
259	0.3017821915
260	0.3016251486
261	0.3014814365
262	0.3013347427
263	0.3011938438
264	0.3010507478
265	0.3009055576
266	0.3007657912
267	0.3006280258
268	0.300490885
269	0.3003523388
270	0.3002140989
271	0.3000788489
272	0.2999501116
273	0.2998178806
274	0.2996874181
275	0.2995569989
276	0.2994243965
277	0.299297476
278	0.2991648436
279	0.2990381458
280	0.2989152714
281	0.2987878578
282	0.2986660135
283	0.2985445305
284	0.2984211719
285	0.2983000134
286	0.2981821157
287	0.2980586928
288	0.2979351843
289	0.2978174153
290	0.2976953055
291	0.2975897847
292	0.2974701962
293	0.2973469724
294	0.297231434
295	0.2971189961
296	0.2970055334
297	0.2968988561
298	0.2967827232
299	0.2966700038
