iter	Passed	Remaining
0	285	85216
1	589	87801
2	874	86538
3	1133	83896
4	1394	82296
5	1679	82310
6	1948	81576
7	2217	80954
8	2477	80121
9	2747	79684
10	3016	79243
11	3283	78814
12	3540	78162
13	3823	78109
14	4087	77653
15	4375	77658
16	4637	77207
17	4906	76863
18	5187	76718
19	5452	76329
20	5704	75785
21	5980	75571
22	6248	75248
23	6504	74799
24	6762	74384
25	7032	74110
26	7301	73821
27	7575	73589
28	7838	73251
29	8107	72970
30	8382	72736
31	8645	72403
32	8955	72460
33	9286	72654
34	9610	72767
35	9978	73175
36	10305	73254
37	10662	73512
38	10958	73338
39	11295	73423
40	11610	73346
41	11947	73393
42	12258	73265
43	12554	73046
44	12880	72991
45	13170	72723
46	13485	72591
47	13752	72200
48	14027	71855
49	14381	71907
50	14689	71721
51	15011	71595
52	15319	71394
53	15682	71440
54	15998	71265
55	16354	71259
56	16649	70980
57	16971	70812
58	17257	70493
59	17591	70366
60	17893	70108
61	18166	69734
62	18433	69344
63	18694	68937
64	18967	68576
65	19228	68173
66	19486	67767
67	19766	67438
68	20056	67145
69	20344	66845
70	20635	66556
71	20883	66130
72	21143	65749
73	21411	65392
74	21693	65080
75	21946	64685
76	22221	64354
77	22498	64034
78	22773	63709
79	23030	63333
80	23296	62987
81	23567	62654
82	23833	62311
83	24092	61950
84	24352	61598
85	24622	61268
86	24904	60972
87	25170	60638
88	25426	60280
89	25692	59948
90	25956	59613
91	26207	59252
92	26462	58901
93	26721	58560
94	26975	58210
95	27236	57876
96	27536	57627
97	27800	57304
98	28071	56993
99	28331	56663
100	28595	56342
101	28871	56044
102	29133	55721
103	29384	55379
104	29680	55121
105	29979	54867
106	30255	54572
107	30549	54310
108	30816	53999
109	31092	53705
110	31350	53380
111	31614	53067
112	31870	52741
113	32145	52448
114	32398	52118
115	32650	51791
116	32900	51459
117	33182	51179
118	33445	50870
119	33701	50552
120	33953	50229
121	34231	49944
122	34492	49634
123	34760	49336
124	35032	49045
125	35295	48740
126	35556	48435
127	35806	48115
128	36078	47825
129	36339	47520
130	36592	47206
131	36845	46893
132	37112	46600
133	37378	46304
134	37634	45997
135	37884	45684
136	38141	45380
137	38403	45082
138	38652	44770
139	38903	44461
140	39164	44164
141	39426	43869
142	39681	43566
143	39956	43286
144	40224	42998
145	40484	42702
146	40752	42416
147	41048	42158
148	41317	41871
149	41582	41582
150	41837	41283
151	42102	40994
152	42354	40693
153	42622	40408
154	42870	40104
155	43128	39811
156	43386	39517
157	43643	39223
158	43901	38931
159	44174	38652
160	44434	38362
161	44705	38082
162	44975	37801
163	45243	37519
164	45566	37281
165	45876	37032
166	46199	36793
167	46512	36545
168	46812	36286
169	47142	36050
170	47435	35784
171	47766	35547
172	48058	35279
173	48344	35008
174	48643	34745
175	48947	34485
176	49245	34221
177	49560	33968
178	49859	33704
179	50189	33459
180	50493	33197
181	50786	32927
182	51043	32634
183	51324	32356
184	51583	32065
185	51845	31776
186	52096	31480
187	52350	31187
188	52598	30891
189	52863	30604
190	53120	30314
191	53373	30022
192	53637	29736
193	53902	29451
194	54158	29162
195	54412	28871
196	54667	28582
197	54936	28300
198	55215	28024
199	55486	27743
200	55748	27458
201	56036	27185
202	56285	26895
203	56528	26601
204	56775	26310
205	57035	26026
206	57295	25741
207	57546	25453
208	57803	25167
209	58068	24886
210	58340	24608
211	58606	24327
212	58864	24043
213	59127	23761
214	59382	23476
215	59642	23194
216	59895	22909
217	60166	22631
218	60428	22350
219	60678	22065
220	60926	21779
221	61179	21495
222	61464	21223
223	61742	20948
224	62011	20670
225	62269	20389
226	62530	20109
227	62777	19824
228	63039	19545
229	63304	19266
230	63554	18983
231	63808	18702
232	64064	18421
233	64321	18142
234	64587	17864
235	64840	17583
236	65116	17309
237	65388	17033
238	65653	16756
239	65916	16479
240	66180	16201
241	66436	15922
242	66685	15642
243	66929	15360
244	67183	15082
245	67434	14802
246	67693	14525
247	67944	14246
248	68215	13971
249	68477	13695
250	68729	13417
251	68989	13140
252	69244	12863
253	69504	12587
254	69757	12310
255	70016	12034
256	70288	11760
257	70559	11486
258	70816	11210
259	71072	10934
260	71325	10657
261	71576	10381
262	71866	10110
263	72146	9838
264	72404	9562
265	72668	9288
266	72926	9013
267	73186	8738
268	73441	8463
269	73714	8190
270	73974	7916
271	74229	7641
272	74479	7366
273	74735	7091
274	75003	6818
275	75269	6545
276	75541	6272
277	75798	5998
278	76047	5724
279	76297	5449
280	76569	5177
281	76840	4904
282	77094	4631
283	77346	4357
284	77606	4084
285	77864	3811
286	78131	3539
287	78395	3266
288	78653	2993
289	78922	2721
290	79187	2449
291	79471	2177
292	79756	1905
293	80066	1634
294	80333	1361
295	80603	1089
296	80920	817
297	81246	545
298	81559	272
299	81870	0
